Epoch: 86 | mean loss: -2651.20776 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 87 | mean loss: -2717.05151 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 88 | mean loss: -2745.25562 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 89 | mean loss: -2786.60718 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 90 | mean loss: -2807.55542 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 91 | mean loss: -2842.29321 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 92 | mean loss: -2866.49951 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 93 | mean loss: -2912.15723 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 94 | mean loss: -2940.85156 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 95 | mean loss: -2991.48486 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 96 | mean loss: -2980.17505 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 97 | mean loss: -3033.00659 | total acc: 0.05769 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 98 | mean loss: -3056.55640 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 99 | mean loss: -3114.32178 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 100 | mean loss: -3139.84912 | total acc: 0.05263 | total recall: 0.00323 | total f1 scroe: 0.00608
Epoch: 101 | mean loss: -3165.26440 | total acc: 0.05882 | total recall: 0.00327 | total f1 scroe: 0.00619
Epoch: 102 | mean loss: -3127.81006 | total acc: 0.04348 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 103 | mean loss: -3227.43896 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 104 | mean loss: -3262.74414 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 105 | mean loss: -3305.32739 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 106 | mean loss: -3319.88818 | total acc: 0.04348 | total recall: 0.00328 | total f1 scroe: 0.00610
Epoch: 107 | mean loss: -3327.99609 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 108 | mean loss: -3389.00562 | total acc: 0.03448 | total recall: 0.00326 | total f1 scroe: 0.00595
Epoch: 109 | mean loss: -3425.22241 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 110 | mean loss: -3453.76074 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 111 | mean loss: -3476.31445 | total acc: 0.03846 | total recall: 0.00324 | total f1 scroe: 0.00597
Epoch: 112 | mean loss: -3506.07007 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 113 | mean loss: -3542.56104 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 114 | mean loss: -3492.71191 | total acc: 0.04000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 115 | mean loss: -3589.00488 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 116 | mean loss: -3631.88745 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 117 | mean loss: -3654.08057 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 118 | mean loss: -3719.37695 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 119 | mean loss: -3763.46509 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 120 | mean loss: -3796.45093 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 121 | mean loss: -3761.15576 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 122 | mean loss: -3827.71826 | total acc: 0.11111 | total recall: 0.00329 | total f1 scroe: 0.00639
Epoch: 123 | mean loss: -3842.33228 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 124 | mean loss: -3904.81519 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 125 | mean loss: -3947.62769 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 126 | mean loss: -3975.69141 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 127 | mean loss: -3980.59985 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 128 | mean loss: -4022.12231 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 129 | mean loss: -4062.95508 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 130 | mean loss: -4100.09326 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 131 | mean loss: -4129.09863 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 132 | mean loss: -4138.48047 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 133 | mean loss: -4183.48047 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 134 | mean loss: -4246.88965 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 135 | mean loss: -4235.81885 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 136 | mean loss: -4176.75195 | total acc: 0.02128 | total recall: 0.00332 | total f1 scroe: 0.00575
Epoch: 137 | mean loss: -4333.20850 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 138 | mean loss: -4311.87354 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 139 | mean loss: -4379.21191 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 140 | mean loss: -4409.14209 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
