Epoch: 106 | mean loss: -3395.71533 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 107 | mean loss: -3430.78149 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 108 | mean loss: -3458.84155 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 109 | mean loss: -3501.85034 | total acc: 0.04255 | total recall: 0.00160 | total f1 scroe: 0.00309
Epoch: 110 | mean loss: -3536.98511 | total acc: 0.02326 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 111 | mean loss: -3552.34399 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 112 | mean loss: -3587.75879 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 113 | mean loss: -3633.98584 | total acc: 0.08889 | total recall: 0.00320 | total f1 scroe: 0.00618
Epoch: 114 | mean loss: -3644.90869 | total acc: 0.04000 | total recall: 0.00160 | total f1 scroe: 0.00308
Epoch: 115 | mean loss: -3657.43164 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 116 | mean loss: -3720.78760 | total acc: 0.04348 | total recall: 0.00160 | total f1 scroe: 0.00309
Epoch: 117 | mean loss: -3750.86914 | total acc: 0.06122 | total recall: 0.00240 | total f1 scroe: 0.00462
Epoch: 118 | mean loss: -3801.74512 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 119 | mean loss: -3826.70825 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 120 | mean loss: -3865.74438 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 121 | mean loss: -3896.26465 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 122 | mean loss: -3917.22681 | total acc: 0.02000 | total recall: 0.00080 | total f1 scroe: 0.00154
Epoch: 123 | mean loss: -3950.64453 | total acc: 0.11538 | total recall: 0.00240 | total f1 scroe: 0.00470
Epoch: 124 | mean loss: -3987.07910 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 125 | mean loss: -4009.85620 | total acc: 0.03448 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 126 | mean loss: -4047.32153 | total acc: 0.04545 | total recall: 0.00080 | total f1 scroe: 0.00157
Epoch: 127 | mean loss: -4082.10522 | total acc: 0.02857 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 128 | mean loss: -4115.97559 | total acc: 0.02273 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 129 | mean loss: -4150.32520 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 130 | mean loss: -4180.63867 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 131 | mean loss: -4210.64502 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 132 | mean loss: -4238.92480 | total acc: 0.04878 | total recall: 0.00160 | total f1 scroe: 0.00310
Epoch: 133 | mean loss: -4288.16895 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 134 | mean loss: -4323.38135 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 135 | mean loss: -4354.60742 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 136 | mean loss: -4362.47754 | total acc: 0.01961 | total recall: 0.00080 | total f1 scroe: 0.00154
Epoch: 137 | mean loss: -4382.56689 | total acc: 0.04545 | total recall: 0.00160 | total f1 scroe: 0.00309
Epoch: 138 | mean loss: -4451.53174 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 139 | mean loss: -4484.63525 | total acc: 0.02703 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 140 | mean loss: -4523.98486 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 141 | mean loss: -4542.88721 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 142 | mean loss: -4589.33008 | total acc: 0.12500 | total recall: 0.00321 | total f1 scroe: 0.00625
Epoch: 143 | mean loss: -4610.27588 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 144 | mean loss: -4641.90332 | total acc: 0.02174 | total recall: 0.00080 | total f1 scroe: 0.00154
Epoch: 145 | mean loss: -4673.09473 | total acc: 0.02703 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 146 | mean loss: -4705.45752 | total acc: 0.05556 | total recall: 0.00240 | total f1 scroe: 0.00460
Epoch: 147 | mean loss: -4742.81787 | total acc: 0.04545 | total recall: 0.00080 | total f1 scroe: 0.00157
Epoch: 148 | mean loss: -4789.69482 | total acc: 0.03704 | total recall: 0.00080 | total f1 scroe: 0.00157
Epoch: 149 | mean loss: -4803.03076 | total acc: 0.02000 | total recall: 0.00080 | total f1 scroe: 0.00154
Epoch: 150 | mean loss: -4832.51953 | total acc: 0.03030 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 151 | mean loss: -4882.63965 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 152 | mean loss: -4900.56543 | total acc: 0.02941 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 153 | mean loss: -4939.18652 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 154 | mean loss: -4955.63525 | total acc: 0.01724 | total recall: 0.00080 | total f1 scroe: 0.00153
Epoch: 155 | mean loss: -4986.54736 | total acc: 0.03846 | total recall: 0.00160 | total f1 scroe: 0.00308
Epoch: 156 | mean loss: -5051.92432 | total acc: 0.03030 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 157 | mean loss: -5054.22314 | total acc: 0.04348 | total recall: 0.00160 | total f1 scroe: 0.00309
Epoch: 158 | mean loss: -5109.92871 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 159 | mean loss: -5131.85498 | total acc: 0.01613 | total recall: 0.00080 | total f1 scroe: 0.00153
Epoch: 160 | mean loss: -5182.80859 | total acc: 0.01724 | total recall: 0.00080 | total f1 scroe: 0.00153
Epoch: 161 | mean loss: -5196.74268 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 162 | mean loss: -5223.99268 | total acc: 0.03509 | total recall: 0.00160 | total f1 scroe: 0.00306
Epoch: 163 | mean loss: -5255.06348 | total acc: 0.04545 | total recall: 0.00240 | total f1 scroe: 0.00457
Epoch: 164 | mean loss: -5297.03418 | total acc: 0.02632 | total recall: 0.00080 | total f1 scroe: 0.00156
Epoch: 165 | mean loss: -5328.15674 | total acc: 0.02439 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 166 | mean loss: -5356.82031 | total acc: 0.10811 | total recall: 0.00320 | total f1 scroe: 0.00622
Epoch: 167 | mean loss: -5394.80322 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 168 | mean loss: -5431.89014 | total acc: 0.10417 | total recall: 0.00400 | total f1 scroe: 0.00771
Epoch: 169 | mean loss: -5465.99561 | total acc: 0.01724 | total recall: 0.00080 | total f1 scroe: 0.00153
Epoch: 170 | mean loss: -5483.87695 | total acc: 0.01786 | total recall: 0.00080 | total f1 scroe: 0.00153
Epoch: 171 | mean loss: -5537.39844 | total acc: 0.00000 | total recall: 0.00000 | total f1 scroe: 0.00000
Epoch: 172 | mean loss: -5546.82520 | total acc: 0.06000 | total recall: 0.00240 | total f1 scroe: 0.00462
Epoch: 173 | mean loss: -5589.91064 | total acc: 0.02899 | total recall: 0.00161 | total f1 scroe: 0.00304
Epoch: 174 | mean loss: -5636.21240 | total acc: 0.02632 | total recall: 0.00080 | total f1 scroe: 0.00155
Epoch: 175 | mean loss: -5657.17480 | total acc: 0.01471 | total recall: 0.00080 | total f1 scroe: 0.00152
Epoch: 176 | mean loss: -5708.02148 | total acc: 0.04167 | total recall: 0.00160 | total f1 scroe: 0.00308
